Standard ID,Standard Description,Skill Name,Skill Description,Source,Relationship
6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Meaning of exponents,Understand what an exponent represents (repeated multiplication).,Khan Academy Content-Meaning of exponents,Exact match
6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Write multiplication expressions using exponents,Convert repeated multiplication into exponential form.,IXL Content-Write multiplication expressions using exponents,Exact match
6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Evaluate powers with whole number bases,Calculate the value of expressions with whole number bases and whole number exponents.,IXL Content-Evaluate powers with whole number bases,Exact match
6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Powers of whole numbers,Calculate the value of expressions with whole number bases and whole number exponents.,Khan Academy Content-Powers of whole numbers,Exact match
6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Write powers of ten with exponents,Express powers of ten using exponential notation and understand their value.,IXL Content-Write powers of ten with exponents,Exact match
6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Find the missing exponent or base,Determine the unknown exponent or base in an exponential equation.,IXL Content-Find the missing exponent or base,Exact match
6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Powers of fractions & decimals,Calculate the value of expressions with fractional or decimal bases and whole number exponents.,Khan Academy Content-Powers of fractions & decimals,Exact match
6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Evaluate powers with decimal bases,Calculate the value of expressions with decimal bases and whole number exponents.,IXL Content-Evaluate powers with decimal bases,Exact match
6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Evaluate powers with fractional bases,Calculate the value of expressions with fractional bases and whole number exponents.,IXL Content-Evaluate powers with fractional bases,Exact match
6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,"Evaluate powers with whole number, decimal, and fractional bases","Calculate the value of expressions with whole number, decimal, or fractional bases and whole number exponents.","IXL Content-Evaluate powers with whole number, decimal, and fractional bases",Exact match
6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents.,Order of operations with fractions and exponents,"Apply the order of operations, including exponents and fractions, to evaluate numerical expressions.",Khan Academy Content-Order of operations with fractions and exponents,Exact match
6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Write variable expressions: one operation,Translate simple verbal phrases into algebraic expressions involving one operation.,"IXL Content - Write variable expressions: one operation, Khan Academy Content - Writing basic expressions with variables","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Write variable expressions: two operations,Translate verbal phrases into algebraic expressions involving two operations.,"IXL Content - Write variable expressions: two operations, Khan Academy Content - Writing expressions with variables","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Write variable expressions: word problems,Formulate algebraic expressions from real-world word problems.,"IXL Content - Write variable expressions: word problems, Khan Academy Content - Writing basic expressions word problems","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Order of operations (numerical expressions),Apply the standard order of operations (PEMDAS/BODMAS) to evaluate numerical expressions without variables.,Khan Academy Content - Order of operations,Exact match
