Standard ID,Standard Description,Skill Name,Skill Description,Source,Relationship
8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:",Identify transformations,"Identify a given transformation as a rotation, reflection, or translation.","Khan Academy Content - Identify transformations, IXL Content - Identify reflections, rotations, and translations, EngageNY Lesson 2: Naming the Moves",Exact match
8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:",Describe transformations informally,"Describe a translation or rotation of a shape using informal language, such as 'slide' and 'turn'.",EngageNY Lesson 1: Moving in the Plane,Subset
8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:",Draw images of figures under translations on a grid,Draw the image of a figure that results from a translation on a grid.,EngageNY Lesson 3: Grid Moves,Subset
8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:",Draw images of figures under rotations on a grid,Draw the image of a figure that results from a rotation on a grid.,EngageNY Lesson 3: Grid Moves,Subset
8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:",Draw images of figures under reflections on a grid,Draw the image of a figure that results from a reflection on a grid.,EngageNY Lesson 3: Grid Moves,Subset
8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:",Describe translations using coordinates,"Given a point and a definition of a translation, identify the coordinates of the translated point or graph it on a coordinate plane.","IXL Content - Translations: find the coordinates, Khan Academy Content - Translate shapes, EngageNY Lesson 5: Coordinate Moves","Superset (IXL), Exact match (Khan Academy, EngageNY)"
8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:",Describe reflections using coordinates,"Given a point and a definition of a reflection (horizontal or vertical), plot the reflection on a coordinate plane or identify the coordinates of the reflected point.","Khan Academy Content - Reflect points, IXL Content - Reflections over the x- and y-axes: find the coordinates, EngageNY Lesson 5: Coordinate Moves","Exact match (Khan Academy), Subset (IXL), Superset (EngageNY)"
8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:",Describe rotations using coordinates (general),"Given a point and a definition of a rotation, plot the rotation on a coordinate plane or identify the coordinates of the rotated point.","Khan Academy Content - Rotate points, IXL Content - Rotations: find the coordinates, EngageNY Lesson 5: Coordinate Moves","Exact match (Khan Academy), Subset (IXL), Superset (EngageNY)"
8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:",Determine the rule for a translation,"Given two figures on the coordinate plane, find the formal definition of the translation that takes one figure to another.","Khan Academy Content - Determine translations, IXL Content - Translations: write the rule",Exact match
8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:",Determine the line of reflection,"Given a shape and its image under a horizontal or vertical reflection, determine the line of reflection.",Khan Academy Content - Determine reflections,Exact match
8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:",Determine the angle and center of rotation (general),"Given a figure on the coordinate plane and a center of a rotation, find the angle for the rotation that maps one figure to the other.",Khan Academy Content - Determine rotations,Exact match
8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:",Determine the rule for reflections and rotations,"Given a figure and its image, write the rule for the reflection or rotation.",IXL Content - Reflections and rotations: write the rule,Superset
8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:",Apply a sequence of transformations,Apply a sequence of transformations to points on a coordinate plane and determine whether the order of transformations affects the image.,"EngageNY Lesson 6: Describing Transformations, IXL Content - Describe a sequence of transformations","Exact match (EngageNY), Subset (IXL)"
